Наименование журнала;Наименование публикации;год;тип;ссылка
Сборник трудов XIV молодежной научной конференции «Тинчуринские чтения». В 3 т. Т. 1: тезисы докладов (Казань, 23–26 апреля 2019 г.) /под общ. ред. ректора КГЭУ Э. Ю. Абдуллазянова. – Казань: Казан. гос. энерг. ун-т, 2019;Интеграция устройств определения мест повреждения в концепцию цифровизации распределительных сетей/ Зиганшин И.И., Зиганшина А.И., Туитяров А.М., Сиразутдинов Ф.Р.;2019;статья;https://kgeu.ru/studportfolio/GetDoc/49229?idFizLico=121278
"ТИНЧУРИНСКИЕ ЧТЕНИЯ
Материалы XIV Международной молодежной научной конференции. В трех томах. Том 1 Ч.2. 2019
Издательство: Казанский государственный энергетический университет (Казань)";АНАЛИЗ МЕТОДОВ И УСТРОЙСТВ ОПРЕДЕЛЕНИЯ МЕСТ ПОВРЕЖДЕНИЙ ЛИНИЙ ЭЛЕКТРОПЕРЕДАЧИ В СЕТЯХ СРЕДНЕГО НАПРЯЖЕНИЯ;2019;статья;https://www.elibrary.ru/item.asp?id=44084272
"Сборник материалов докладов X ОМНПК ""Диспетчеризация и управление в электроэнергетике""";Методы и устройства определения мест повреждений линий электропередачи в сетях среднего напряжения;;;
Сборник материалов докладов XIXАспирантско-магистерского семинара, посвященного Дню Энергетика;Определение тока подпитки от асинхронного двигателя при трехфазном коротком замыкании с учетом параметров, учитывающих конструкционные особенности;;;
Сборник материалов докладов XI Международной молодежной научной конференции «Тинчуринские чтения»;Методы и устройства определения мест повреждений линий электропередачи в сетях среднего напряжения;;;
Сборник материалов докладов XI Международной молодежной научной конференции «Тинчуринские чтения»;Определение тока подпитки от асинхронного двигателя при трехфазном коротком замыкании с учетом параметров, учитывающих конструкционные особенности;;;
Материалы VII Международной молодёжной научно-технической конференции «Электроэнергетика глазами молодежи – 2016» 19–23 сентября ТОМ III;Влияние нагрузки на точность определения места повреждения в распределительных электрических сетях среднего напряжения;2016;статья;https://kgeu.ru/studportfolio/GetDoc/4767?idFizLico=121278
Сборник материалов докладов XX Аспирантско-магистерского семинара, посвященного Дню Энергетика;Моделирование аварийных режимов фотоветровой электроустановки в среде MatLab Simulink;2016;статья;
Сборник материалов докладов XX Аспирантско-магистерского семинара, посвященного Дню Энергетика;Разработка методов определения мест повреждений с использованием многопараметрических данных в распределительных электрических сетях среднего напряжения;2016;статья;
Электронный научно?практический журнал «Экономика и менеджмент инновационных технологий»;Опыт сравнительного анализа учащихся городских и сельских школ;2016;статья;https://ekonomika.snauka.ru/2016/11/12736
КАТАЛОГ ИННОВАЦИОННЫХ РАЗРАБОТОК И НАУЧНЫХ ПРОЕКТОВ КГЭУ;Система определения расстояний до мест повреждений в распределительных электрических сетях напряжением 6-10 кв;2016;выствка;
Журнал для специалистов в области цифровой техники и технологий для энергетики 03 (30) 2017 «Релейщик»;Разработка алгоритма определения мест повреждений линий электропередачи в разветвленных распределительных электрических сетях;2017;статья;http://energyexpert.ru/content/view/1569
Journal of Engineering and Applied Sciences, ISSN: 1816-949X, Medwell Journals, 2017, FSBEI HE, Kazan State University of Energetics, Kazan, Russia;Algorithm development for determination of fault location of transmission lines in a branched electrical distribution networks;2017;статья;https://engineeringresearch.org/index.php/GJRE/article/view/1642/1573
Публикация в сборнике материалов докладов VIII Международной молодёжной научно-технической конференции ЭЛЕКТРОЭНЕРГЕТИКА ГЛАЗАМИ МОЛОДЕЖИ –  02 – 06 октября 2017, Самара, Том 2;Анализ и расчет надежности распределительных электрических сетей;2017;статья;https://fondsmena.ru/media/EGM_publicationfiles_Article/%D0%A2%D0%BE%D0%BC_2_1.pdf
"Публикация в сборнике материалов докладов XII ВСЕРОССИЙСКОЙ ОТКРЫТОЙ МОЛОДЕЖНОЙ НАУЧНО-ПРАКТИЧЕСКОЙ КОНФЕРЕНЦИИ ДИСПЕТЧЕРИЗАЦИЯ И УПРАВЛЕНИЕ В ЭЛЕКТРОЭНЕРГЕТИКЕ
 01–03 ноября 2017 г, Казань";Анализ и расчет распределительных электрических сетей программным средством PSSSINCAL;2017;статья;https://drive.google.com/file/d/1OjYarU-ALLOhEyJzTIUZ2QHAwxU5BZRT/view
XIII МОЛОДЕЖНАЯ НАУЧНАЯ КОНФЕРЕНЦИЯ «ТИНЧУРИНСКИЕ ЧТЕНИЯ» 24–27 апреля 2018 г., Казань;Феррорезонанс в сетях 6–35 кв;2017;тезис;
МАТЕРИАЛЫ ДОКЛАДОВ XII МЕЖДУНАРОДНОЙ МОЛОДЕЖНОЙ НАУЧНОЙ КОНФЕРЕНЦИИ «ТИНЧУРИНСКИЕ ЧТЕНИЯ» 26–28 апреля 2017 г. Казань;Моделирование резонансных повышений напряжения в среде МatlabSimulink;2017;тезис;
ДВАДЦАТЬ ЧЕТВЕРТАЯ МЕЖДУНАРОДНАЯ НАУЧНО-ТЕХНИЧЕСКАЯ КОНФЕРЕНЦИЯ СТУДЕНТОВ И АСПИРАНТОВ Радиоэлектроника, электротехника и энергетика 15–16 марта 2018 г. МОСКВА;Феррорезонанс в сетях 6–35 кв;2018;тезис;
Публикация в сборнике материалов докладов IX Международной молодёжной научно-технической конференции ЭЛЕКТРОЭНЕРГЕТИКА ГЛАЗАМИ МОЛОДЕЖИ – 1–5 октября 2018 г, Том 1, Казань;Определение аварий в распределительных сетях среднего напряжения;2018;статья;https://fondsmena.ru/media/EGM_publicationfiles_Article/%D0%A1%D0%B1%D0%BE%D1%80%D0%BD%D0%B8%D0%BA_%D1%82%D1%80%D1%83%D0%B4%D0%BE%D0%B2_2018_%D1%87.1_1.pdf
Публикация в сборнике материалов докладов IX Международной молодёжной научно-технической конференции ЭЛЕКТРОЭНЕРГЕТИКА ГЛАЗАМИ МОЛОДЕЖИ – 1–5 октября 2018 г, Том 1, Казань;Программный расчет режимов распределительной электрической сети;2018;статья;https://fondsmena.ru/media/EGM_publicationfiles_Article/%D0%A1%D0%B1%D0%BE%D1%80%D0%BD%D0%B8%D0%BA_%D1%82%D1%80%D1%83%D0%B4%D0%BE%D0%B2_2018_%D1%87.1_1.pdf
